business_id,state,district,treatment,sector,business_age_years,owner_education,loan_access_baseline,employees_baseline,baseline_revenue_inr,endline_revenue_inr,survey_date,endline_revenue_missing,revenue_growth_rate,log_baseline_revenue,log_endline_revenue,edu_No formal education,edu_Primary,edu_Secondary,edu_Unknown,state_Gujarat,state_Maharashtra,state_Rajasthan,state_Uttar Pradesh
MSME0013,Rajasthan,Ajmer,0,Manufacturing,16,No formal education,0,8.0,69608.17,68710.93,2023-10-02,0,-0.012889866232656385,11.150637224490895,11.137663563081244,True,False,False,False,False,False,True,False
MSME0014,Uttar Pradesh,Agra,1,Retail,18,Secondary,0,5.0,20972.03,24939.41,2022-08-13,0,0.1891748199864296,9.950944924170134,10.124204562177939,False,False,True,False,False,False,False,True
MSME0015,Gujarat,Vadodara,1,Retail,16,Secondary,0,3.0,46094.17,59385.45,2023-07-11,0,0.2883505658090817,10.738441756779224,10.991804525850759,False,False,True,False,True,False,False,False
MSME0016,Uttar Pradesh,Agra,1,Services,10,Primary,1,11.0,80946.36,100306.61,,0,0.23917381831622817,11.301541992066367,11.515986874071686,False,True,False,False,False,False,False,True
MSME0017,Uttar Pradesh,Agra,1,Retail,18,Secondary,0,7.0,13486.84,16776.82,,0,0.24394001856624675,9.509469674170742,9.727753450738653,False,False,True,False,False,False,False,True
MSME0018,Uttar Pradesh,Lucknow,1,Agri-Processing,6,Primary,1,7.0,37044.75,40785.49,2023-02-18,0,0.1009789511334264,10.519881920278923,10.616081659883426,False,True,False,False,False,False,False,True
MSME0019,Uttar Pradesh,Agra,0,Manufacturing,19,Secondary,1,9.0,21044.04,21889.84,2023-07-09,0,0.04019190231533485,9.954372663628211,9.993777881216555,False,False,True,False,False,False,False,True
MSME0020,Maharashtra,Nagpur,1,Retail,4,Primary,0,7.0,14191.64,15142.11,2023-09-07,0,0.0669739367684074,9.56040833782402,9.62523488319901,False,True,False,False,False,True,False,False
MSME0021,Rajasthan,Jodhpur,1,Services,13,Unknown,0,13.0,10623.66,13250.2,,0,0.24723494539546642,9.27083886819206,9.491767925640072,False,False,False,True,False,False,True,False
MSME0022,Bihar,Gaya,0,Retail,14,Unknown,1,11.0,14009.36,15622.15,,0,0.11512231822153182,9.547480956631654,9.6564450579677,False,False,False,True,False,False,False,False
MSME0023,Uttar Pradesh,Kanpur,0,Manufacturing,3,Secondary,0,14.0,38102.04,40210.47,,0,0.05533640718449721,10.548023102988488,10.601882688457676,False,False,True,False,False,False,False,True
MSME0024,Gujarat,Rajkot,1,Services,10,No formal education,1,3.0,10009.85,,2022-10-11,1,,9.211324887182005,,True,False,False,False,True,False,False,False
MSME0025,Uttar Pradesh,Agra,1,Agri-Processing,6,Primary,1,11.0,23374.91,,2022-06-13,1,,10.059418503882096,,False,True,False,False,False,False,False,True
MSME0026,Gujarat,Vadodara,1,Services,1,Primary,0,13.0,69602.48,94502.73,,0,0.3577494652489394,11.150555477871608,11.456384001953447,False,True,False,False,True,False,False,False
MSME0027,Maharashtra,Nagpur,0,Services,14,No formal education,0,14.0,52010.91,50186.83,2022-01-16,0,-0.03507110335120077,10.859208783249317,10.823507920662273,True,False,False,False,False,True,False,False
MSME0028,Gujarat,Rajkot,1,Services,8,Graduate,1,13.0,23756.08,30188.03,,0,0.2707496354617427,10.075593776700378,10.315200767176625,False,False,False,False,True,False,False,False
MSME0029,Bihar,Gaya,1,Agri-Processing,19,Primary,1,1.0,140330.04,166848.56,2023-03-22,0,0.1889725108038164,11.851752355787541,12.024841853635834,False,True,False,False,False,False,False,False
MSME0030,Rajasthan,Jaipur,0,Retail,14,Graduate,0,8.0,165120.23,159602.96,2023-09-06,0,-0.03341365258514973,12.014429154200721,11.980444510191779,False,False,False,False,False,False,True,False
MSME0032,Gujarat,Vadodara,0,Retail,17,Secondary,0,3.0,5040.02,5146.67,2022-03-01,0,0.021160630314958993,8.525165329311509,8.546105182578842,False,False,True,False,True,False,False,False
MSME0033,Rajasthan,Jaipur,0,Retail,9,No formal education,1,12.0,73803.29,,2022-12-23,1,,11.209158589540706,,True,False,False,False,False,False,True,False
MSME0034,Bihar,Patna,1,Services,6,Primary,1,8.0,5795.4,7868.71,2022-09-24,0,0.3577509749111365,8.664819778413305,8.970649414380214,False,True,False,False,False,False,False,False
MSME0035,Uttar Pradesh,Agra,0,Services,11,Secondary,1,8.0,118292.65,108117.2,,0,-0.08601929198475136,11.680916917858804,11.590971102903733,False,False,True,False,False,False,False,True
MSME0036,Gujarat,Rajkot,1,Manufacturing,7,Primary,0,13.0,86410.8,122176.09,,0,0.41389837844343524,11.366867946980298,11.71321864372737,False,True,False,False,True,False,False,False
MSME0037,Rajasthan,Jaipur,0,Retail,17,No formal education,0,5.0,150146.99,155834.71,,0,0.03788101246651699,11.919370026590494,11.956551173228346,True,False,False,False,False,False,True,False
MSME0038,Maharashtra,Pune,1,Services,1,Secondary,1,13.0,44721.63,53373.04,2022-07-26,0,0.19345023873235398,10.70821255618083,10.885061028545206,False,False,True,False,False,True,False,False
MSME0039,Rajasthan,Ajmer,0,Retail,5,Graduate,0,12.0,27197.8,25584.77,2022-06-20,0,-0.059307370449080396,10.210891366659993,10.149752531556416,False,False,False,False,False,False,True,False
MSME0040,Maharashtra,Nagpur,1,Services,9,Secondary,0,13.0,25334.42,30051.46,2023-06-12,0,0.1861909607561571,10.139919224417248,10.310666524473623,False,False,True,False,False,True,False,False
MSME0041,Bihar,Patna,0,Manufacturing,18,No formal education,0,1.0,23458.59,24568.3,2023-01-19,0,0.047305059681762594,10.062992018099461,10.109212273052291,True,False,False,False,False,False,False,False
MSME0042,Uttar Pradesh,Agra,0,Retail,2,Unknown,1,13.0,79606.81,87068.57,,0,0.09373268442737512,11.284854920936864,11.374451248120549,False,False,False,True,False,False,False,True
MSME0043,Rajasthan,Jodhpur,1,Retail,11,Primary,1,10.0,64203.77,66610.96,,0,0.03749296964960173,11.069817210695373,11.106624407553783,False,True,False,False,False,False,True,False
MSME0044,Gujarat,Surat,0,Retail,6,Unknown,0,7.0,39981.84,45606.4,,0,0.14067786775195953,10.59618063000687,10.727803336531407,False,False,False,True,True,False,False,False
MSME0045,Bihar,Gaya,1,Services,8,Graduate,0,12.0,20378.89,24282.73,2022-06-24,0,0.19156293595971127,9.922254840131512,10.09752067707349,False,False,False,False,False,False,False,False
MSME0046,Rajasthan,Ajmer,1,Agri-Processing,4,Primary,0,10.0,297559.68,363006.84,2022-06-19,0,0.21994633143845307,12.603370088891337,12.802176956044669,False,True,False,False,False,False,True,False
MSME0047,Gujarat,Surat,1,Services,18,Primary,1,5.0,75350.04,84738.02,,0,0.12459157287773187,11.229899734910505,11.34731965831871,False,True,False,False,True,False,False,False
MSME0048,Rajasthan,Jodhpur,1,Retail,11,No formal education,0,8.0,10115.56,10553.2,,0,0.04326404074514918,9.221830111391153,9.264184410448294,True,False,False,False,False,False,True,False
MSME0049,Maharashtra,Pune,1,Manufacturing,5,Graduate,0,9.0,24028.48,27833.71,,0,0.15836332552038246,10.086995072464378,10.234003155013399,False,False,False,False,False,True,False,False
MSME0050,Rajasthan,Jodhpur,0,Services,15,Secondary,0,11.0,76528.68,77962.03,2022-10-12,0,0.01872957955109125,11.245420851517231,11.263977192276844,False,False,True,False,False,False,True,False
MSME0051,Rajasthan,Ajmer,1,Services,18,Secondary,1,14.0,19155.95,18977.34,2022-04-02,0,-0.009323995938598742,9.860368651310838,9.851000914818627,False,False,True,False,False,False,True,False
MSME0052,Rajasthan,Ajmer,0,Retail,2,Secondary,0,7.0,48109.66,51926.13,2023-08-26,0,0.07932855896300231,10.781238267530718,10.857577410664478,False,False,True,False,False,False,True,False
MSME0053,Bihar,Patna,1,Retail,11,No formal education,0,14.0,77702.06,98262.05,2022-02-06,0,0.26460032076369666,11.260637048230809,11.495393168521497,True,False,False,False,False,False,False,False
MSME0054,Rajasthan,Jodhpur,0,Services,13,Primary,0,13.0,2414.52,2238.34,2023-10-11,0,-0.07296688368702675,7.789255788567756,7.713489798691345,False,True,False,False,False,False,True,False
MSME0055,Gujarat,Surat,0,Manufacturing,4,Primary,1,7.0,33308.56,29902.48,2023-08-04,0,-0.10225839844172184,10.413569699992088,10.305696699082999,False,True,False,False,True,False,False,False
MSME0056,Maharashtra,Pune,1,Retail,7,No formal education,0,1.0,34370.96,38329.1,2022-12-04,0,0.11515942528227316,10.444967300789274,10.5539646777963,True,False,False,False,False,True,False,False
MSME0057,Maharashtra,Nagpur,0,Retail,11,Primary,1,4.0,26117.01,26179.42,,0,0.0023896303596774617,10.170342105168766,10.172728884902208,False,True,False,False,False,True,False,False
MSME0058,Rajasthan,Jodhpur,1,Manufacturing,4,Graduate,0,2.0,46228.7,51758.59,,0,0.11962027917722107,10.741356096318665,10.854345687690907,False,False,False,False,False,False,True,False
MSME0059,Bihar,Gaya,0,Agri-Processing,15,No formal education,0,2.0,61452.25,61077.89,2023-11-03,0,-0.00609188434923051,11.026015729458118,11.01990521387668,True,False,False,False,False,False,False,False
MSME0060,Bihar,Muzaffarpur,1,Agri-Processing,1,Primary,0,2.0,40686.06,47825.24,,0,0.17546992753783483,10.613640806619555,10.775308812591732,False,True,False,False,False,False,False,False
MSME0061,Gujarat,Surat,0,Manufacturing,3,Primary,1,4.0,26928.44,23243.9,,0,-0.136827086901432,10.200938256166374,10.053798011000232,False,True,False,False,True,False,False,False
MSME0062,Rajasthan,Jaipur,1,Manufacturing,14,Primary,0,14.0,60240.31,60593.98,,0,0.005870985723679137,11.006097008542872,11.011950827188874,False,True,False,False,False,False,True,False
MSME0063,Maharashtra,Nashik,1,Retail,6,Graduate,1,1.0,37768.95,31610.28,,0,-0.1630617213345883,10.539242615478935,10.361237663126774,False,False,False,False,False,True,False,False
MSME0064,Bihar,Gaya,0,Manufacturing,18,Primary,1,4.0,30195.24,33041.28,,0,0.09425459112098454,10.31543957504623,10.4055129678046,False,True,False,False,False,False,False,False
MSME0065,Rajasthan,Ajmer,1,Manufacturing,1,Primary,0,2.0,12710.41,14639.23,,0,0.15175120236089942,9.450176621727735,9.591460190503689,False,True,False,False,False,False,True,False
MSME0066,Bihar,Muzaffarpur,1,Services,6,Secondary,1,5.0,10403.28,13217.39,,0,0.27050218777154883,9.249876420021575,9.489288665774994,False,False,True,False,False,False,False,False
MSME0067,Bihar,Muzaffarpur,1,Manufacturing,6,Unknown,1,3.0,12519.17,12759.04,,0,0.0191602158929067,9.435016348526837,9.45399531895876,False,False,False,True,False,False,False,False
MSME0068,Maharashtra,Pune,1,Retail,16,Primary,0,12.0,45372.58,52305.82,2023-03-03,0,0.1528068273834108,10.722663236811545,10.864862924932481,False,True,False,False,False,True,False,False
MSME0069,Uttar Pradesh,Agra,1,Retail,5,Primary,0,7.0,34089.24,40044.8,,0,0.17470498022249853,10.436737070955598,10.59775410636399,False,True,False,False,False,False,False,True
MSME0070,Gujarat,Surat,1,Retail,17,Secondary,1,7.0,11111.91,12060.81,,0,0.08539486010955809,9.315772785049328,9.397716632204869,False,False,True,False,True,False,False,False
MSME0071,Gujarat,Surat,1,Retail,10,Graduate,0,1.0,60884.52,,,1,,11.01673423419483,,False,False,False,False,True,False,False,False
MSME0072,Maharashtra,Pune,1,Retail,18,Secondary,1,1.0,109037.55,147285.22,,0,0.3507752145935047,11.599447597299205,11.90012625797307,False,False,True,False,False,True,False,False
MSME0073,Bihar,Gaya,0,Agri-Processing,7,Primary,1,12.0,22498.53,25646.71,2022-08-02,0,0.13992825309031304,10.021205252724863,10.15217057726503,False,True,False,False,False,False,False,False
MSME0074,Rajasthan,Jaipur,1,Manufacturing,3,Unknown,0,7.0,9020.13,9976.97,,0,0.10607829377181928,9.107214025369663,9.20803471599308,False,False,False,True,False,False,True,False
MSME0075,Bihar,Patna,1,Manufacturing,13,No formal education,1,3.0,20592.84,24890.08,,0,0.2086764137438062,9.932698721544707,10.122224609498698,True,False,False,False,False,False,False,False
MSME0076,Maharashtra,Nagpur,1,Agri-Processing,15,No formal education,0,9.0,71938.62,78718.77,,0,0.09424909735549569,11.183568534413416,11.273636906604063,True,False,False,False,False,True,False,False
MSME0077,Gujarat,Surat,1,Agri-Processing,19,Primary,0,7.0,56321.06,58322.07,,0,0.03552862818988141,10.938823811677539,10.97373585987981,False,True,False,False,True,False,False,False
MSME0078,Bihar,Muzaffarpur,0,Manufacturing,3,Primary,0,2.0,17362.25,,2022-10-10,1,,9.762053588110843,,False,True,False,False,False,False,False,False
MSME0079,Gujarat,Rajkot,1,Services,4,Secondary,0,13.0,122631.32,117681.01,,0,-0.04036742000330757,11.716937734785231,11.675732937835361,False,False,True,False,True,False,False,False
MSME0080,Rajasthan,Jaipur,1,Retail,5,Secondary,1,9.0,106790.48,119302.81,,0,0.11716709204790542,11.578624062958374,11.689420161873997,False,False,True,False,False,False,True,False
MSME0081,Gujarat,Vadodara,0,Retail,1,Graduate,1,10.0,20203.18,20373.54,,0,0.008432335899596032,9.913595296741738,9.9219922790999,False,False,False,False,True,False,False,False
MSME0082,Gujarat,Rajkot,0,Manufacturing,4,Secondary,1,2.0,20037.64,23346.33,2023-07-08,0,0.16512373712672762,9.905367783792963,10.058195077296466,False,False,True,False,True,False,False,False
MSME0083,Uttar Pradesh,Kanpur,1,Services,12,Secondary,0,3.0,22600.73,28321.15,,0,0.2531077535991095,10.02573748562367,10.251364154327833,False,False,True,False,False,False,False,True
MSME0084,Uttar Pradesh,Kanpur,0,Services,10,No formal education,0,11.0,24200.63,20153.68,,0,-0.16722498546525444,10.094133944863774,9.911142180972904,True,False,False,False,False,False,False,True
MSME0085,Uttar Pradesh,Agra,0,Retail,13,No formal education,1,13.0,77686.01,77664.64,2023-03-14,0,-0.0002750817039000374,11.260430468664474,11.260155349118662,True,False,False,False,False,False,False,True
MSME0086,Gujarat,Vadodara,1,Retail,14,Secondary,0,10.0,51034.81,58813.64,2022-10-06,0,0.15242204291541406,10.840263227895427,10.982129079774307,False,False,True,False,True,False,False,False
MSME0087,Maharashtra,Nashik,0,Services,5,Primary,1,14.0,73252.16,71579.53,,0,-0.022833865922861588,11.201663014499157,11.17856441821855,False,True,False,False,False,True,False,False
MSME0088,Gujarat,Vadodara,0,Retail,4,Graduate,1,2.0,62246.16,66104.23,2022-10-18,0,0.06198085150955484,11.038852125677261,11.098988017740815,False,False,False,False,True,False,False,False
MSME0089,Maharashtra,Nashik,1,Manufacturing,14,No formal education,1,3.0,143146.18,141421.66,2022-05-01,0,-0.01204726525010999,11.871621624875058,11.859501203174478,True,False,False,False,False,True,False,False
MSME0090,Maharashtra,Pune,1,Services,10,No formal education,1,6.0,15560.51,17163.35,2023-01-03,0,0.10300690658596655,9.652491573544864,9.750531575433948,True,False,False,False,False,True,False,False
MSME0092,Bihar,Muzaffarpur,0,Services,10,Primary,1,9.0,6380.13,6813.7,,0,0.06795629556137567,8.760943752306792,8.826690570248466,False,True,False,False,False,False,False,False
MSME0093,Rajasthan,Ajmer,0,Agri-Processing,7,No formal education,0,7.0,12662.95,12852.16,,0,0.014942015880975532,9.446435685931402,9.46126716958247,True,False,False,False,False,False,True,False
MSME0095,Uttar Pradesh,Kanpur,1,Services,1,No formal education,0,3.0,50744.84,57656.63,,0,0.13620675520900255,10.834565216857946,10.962260523421227,True,False,False,False,False,False,False,True
MSME0096,Bihar,Patna,0,Services,17,Unknown,1,4.0,33474.77,35953.27,,0,0.07404083732315413,10.418547299736666,10.489975318678816,False,False,False,True,False,False,False,False
MSME0097,Rajasthan,Ajmer,1,Retail,9,Primary,1,6.0,23069.02,26619.31,2023-09-24,0,0.15389860514230777,10.046245870855033,10.189392171252534,False,True,False,False,False,False,True,False
MSME0098,Gujarat,Vadodara,1,Retail,6,No formal education,0,11.0,26594.66,27397.49,,0,0.030187639172676084,10.188465722736735,10.218206682340675,True,False,False,False,True,False,False,False
MSME0099,Gujarat,Surat,1,Retail,19,Primary,0,5.0,108613.69,109498.65,,0,0.00814777584667266,11.595552737469072,11.60366749939557,False,True,False,False,True,False,False,False
MSME0100,Uttar Pradesh,Lucknow,0,Manufacturing,13,Graduate,1,2.0,26709.49,22730.75,,0,-0.14896353318614475,10.19277421194942,10.031473912342706,False,False,False,False,False,False,False,True
MSME0101,Rajasthan,Jaipur,1,Services,3,Primary,0,13.0,147177.31,193890.17,,0,0.31739172294968576,11.899393329373764,12.175047143710472,False,True,False,False,False,False,True,False
MSME0102,Uttar Pradesh,Lucknow,0,Services,7,Unknown,0,6.0,68542.8,74077.37,2023-02-26,0,0.08074619070128435,11.135213646651371,11.212865366530018,False,False,False,True,False,False,False,True
MSME0103,Maharashtra,Nashik,1,Retail,9,No formal education,0,3.0,52366.89,59580.64,,0,0.13775402740166545,10.866029800365999,10.995085968069265,True,False,False,False,False,True,False,False
MSME0104,Uttar Pradesh,Agra,1,Retail,5,Secondary,0,14.0,13976.36,15343.44,,0,0.09781373691003951,9.545122609925194,9.638443300106847,False,False,True,False,False,False,False,True
MSME0105,Uttar Pradesh,Kanpur,1,Agri-Processing,10,Primary,1,8.0,76740.93,83187.02,2022-04-18,0,0.08399806986962513,11.248190482570356,11.32884660502315,False,True,False,False,False,False,False,True
MSME0106,Gujarat,Vadodara,1,Retail,17,Secondary,0,2.0,24464.63,31210.07,,0,0.2757221343629558,10.104983679962835,10.348496078133184,False,False,True,False,True,False,False,False
MSME0107,Gujarat,Vadodara,0,Manufacturing,12,Secondary,0,1.0,13966.94,16626.85,,0,0.19044328965399707,9.544448387456349,9.718774137528584,False,False,True,False,True,False,False,False
MSME0108,Gujarat,Surat,1,Manufacturing,16,Graduate,0,9.0,54735.89,59135.55,,0,0.08037980199097892,10.910274897569064,10.987587545394481,False,False,False,False,True,False,False,False
MSME0109,Maharashtra,Pune,0,Manufacturing,3,Primary,0,14.0,11963.83,13325.81,,0,0.11384147049899569,9.389643210354336,9.497458035179026,False,True,False,False,False,True,False,False
MSME0110,Gujarat,Rajkot,1,Retail,9,No formal education,0,12.0,19736.14,22760.14,,0,0.15322145059773593,9.890206751820028,10.032766039363704,True,False,False,False,True,False,False,False
MSME0111,Rajasthan,Jaipur,0,Retail,15,No formal education,0,3.0,36022.8,35257.57,,0,-0.02124293503003662,10.491907350300664,10.470435536957604,True,False,False,False,False,False,True,False
MSME0112,Bihar,Patna,1,Retail,5,Graduate,0,11.0,214215.36,283403.63,,0,0.32298463564890967,12.274737143108315,12.554627414907568,False,False,False,False,False,False,False,False
MSME0113,Rajasthan,Jaipur,0,Manufacturing,13,Secondary,0,1.0,20962.02,20940.71,2023-11-08,0,-0.0010166004993794162,9.9504675078371,9.949450390248956,False,False,True,False,False,False,True,False
MSME0114,Rajasthan,Jodhpur,0,Manufacturing,14,Unknown,1,7.0,25170.47,25916.43,,0,0.029636315889214587,10.133426760978464,10.162632409498878,False,False,False,True,False,False,True,False
MSME0115,Gujarat,Vadodara,1,Retail,15,Primary,0,13.0,65243.13,,,1,,11.085876032285515,,False,True,False,False,True,False,False,False
MSME0116,Bihar,Muzaffarpur,1,Services,16,Primary,0,10.0,13485.41,12987.2,,0,-0.03694437173211635,9.509363639264397,9.471719536006912,False,True,False,False,False,False,False,False
MSME0117,Bihar,Patna,0,Services,13,No formal education,0,5.0,51753.38,53246.01,,0,0.028841208052498304,10.85424502300441,10.882678151186846,True,False,False,False,False,False,False,False
MSME0118,Bihar,Patna,0,Retail,17,Graduate,0,5.0,95295.84,89933.62,,0,-0.05626919286298333,11.46474143706309,11.406827121628933,False,False,False,False,False,False,False,False
MSME0119,Maharashtra,Nashik,1,Manufacturing,8,Secondary,1,14.0,28405.1,28023.55,2023-09-07,0,-0.013432446990153151,10.254323985491983,10.240800507083538,False,False,True,False,False,True,False,False
MSME0120,Gujarat,Surat,0,Services,2,Graduate,0,1.0,82530.52,78262.56,,0,-0.05171371754352216,11.320923443306006,11.267824606703966,False,False,False,False,True,False,False,False
MSME0121,Bihar,Patna,0,Retail,5,Primary,1,9.0,45851.35,43442.37,2022-05-23,0,-0.052538911068049164,10.733159921089754,10.679190511130633,False,True,False,False,False,False,False,False
MSME0122,Maharashtra,Nagpur,0,Retail,6,Secondary,1,7.0,20240.78,22325.34,,0,0.10298812595166794,9.915454660208256,10.013477635192,False,False,True,False,False,True,False,False
MSME0123,Uttar Pradesh,Agra,0,Services,12,Secondary,0,8.0,31000.43,27702.63,,0,-0.10637916957926065,10.341756354338825,10.229282633516734,False,False,True,False,False,False,False,True
MSME0124,Uttar Pradesh,Agra,0,Agri-Processing,18,Primary,1,9.0,26800.99,24684.12,,0,-0.07898476884622554,10.196194106115179,10.113915400877852,False,True,False,False,False,False,False,True
MSME0125,Maharashtra,Nashik,1,Services,1,Graduate,0,6.0,33856.61,39851.58,,0,0.17706941126119835,10.42988953254148,10.592917332114933,False,False,False,False,False,True,False,False
MSME0126,Maharashtra,Nashik,1,Manufacturing,17,Graduate,0,12.0,41034.74,40933.54,,0,-0.002466203026996079,10.622174303989151,10.61970505487426,False,False,False,False,False,True,False,False
MSME0127,Gujarat,Vadodara,1,Services,11,Graduate,0,5.0,58137.14,62451.74,,0,0.0742141770303802,10.970559981296454,11.04214937745541,False,False,False,False,True,False,False,False
MSME0128,Gujarat,Vadodara,0,Manufacturing,10,Secondary,0,6.0,54553.36,45473.08,,0,-0.16644767618346512,10.906934584231426,10.724875781494442,False,False,True,False,True,False,False,False
MSME0129,Uttar Pradesh,Lucknow,0,Services,19,Primary,1,11.0,5190.73,5668.28,,0,0.09200054712920923,8.554629621374906,8.642640999731567,False,True,False,False,False,False,False,True
MSME0130,Bihar,Patna,1,Manufacturing,14,Primary,1,2.0,33595.7,37470.74,,0,0.11534333262887814,10.422153361571167,10.53131564072536,False,True,False,False,False,False,False,False
MSME0131,Uttar Pradesh,Lucknow,0,Retail,10,Graduate,1,4.0,10855.88,10838.6,,0,-0.0015917640946656408,9.292462147658474,9.290869115361378,False,False,False,False,False,False,False,True
MSME0132,Bihar,Patna,0,Services,15,No formal education,0,3.0,29126.92,31794.98,2022-08-27,0,0.09160117169958243,10.279418111441974,10.36706369467159,True,False,False,False,False,False,False,False
MSME0133,Bihar,Gaya,1,Manufacturing,19,Unknown,0,13.0,32891.46,35093.18,2022-09-15,0,0.06693895619105997,10.400968328590094,10.465762088580577,False,False,False,True,False,False,False,False
MSME0134,Gujarat,Rajkot,1,Manufacturing,4,Secondary,0,7.0,79294.07,88343.23,2023-04-18,0,0.11412152258043998,11.280918625507786,11.38898484776034,False,False,True,False,True,False,False,False
MSME0135,Rajasthan,Jodhpur,1,Agri-Processing,2,Unknown,1,9.0,35451.03,36462.18,2022-08-16,0,0.02852244349458962,10.475907586545237,10.504030837997597,False,False,False,True,False,False,True,False
MSME0136,Rajasthan,Jaipur,1,Retail,9,Graduate,0,5.0,44684.16,45947.48,,0,0.028272211002735637,10.707374355384355,10.73525428406014,False,False,False,False,False,False,True,False
MSME0137,Maharashtra,Nagpur,1,Retail,10,Primary,1,6.0,68490.14,71512.82,2022-11-11,0,0.0441330679131333,11.13444507228389,11.177632013308951,False,True,False,False,False,True,False,False
MSME0139,Bihar,Muzaffarpur,1,Services,14,No formal education,0,14.0,32911.88,36392.26,,0,0.10574844098848211,10.401588965799558,10.502111393651665,True,False,False,False,False,False,False,False
MSME0140,Rajasthan,Jodhpur,1,Services,7,Primary,1,12.0,39157.36,46330.7,2022-06-07,0,0.18319263607148176,10.575343678641568,10.743560087297201,False,True,False,False,False,False,True,False
MSME0141,Bihar,Gaya,1,Retail,15,Primary,0,12.0,36607.87,38347.12,2022-03-19,0,0.0475102757958876,10.508018523596801,10.55443470619185,False,True,False,False,False,False,False,False
MSME0142,Rajasthan,Jodhpur,1,Services,19,Primary,0,2.0,23527.4,27921.32,,0,0.1867575677720444,10.06592097837857,10.237145833695704,False,True,False,False,False,False,True,False
MSME0143,Rajasthan,Jaipur,0,Manufacturing,15,Graduate,1,3.0,19627.91,20579.87,2022-08-26,0,0.04850032428312536,9.884707811912955,9.93206869255565,False,False,False,False,False,False,True,False
MSME0144,Rajasthan,Jodhpur,1,Services,8,Graduate,0,3.0,5898.72,6466.18,,0,0.09620053164076274,8.682490657204397,8.774340795819345,False,False,False,False,False,False,True,False
MSME0145,Gujarat,Vadodara,0,Manufacturing,11,No formal education,1,12.0,15346.94,14111.93,2022-08-01,0,-0.08047271964313409,9.638671384608582,9.55477581791681,True,False,False,False,True,False,False,False
MSME0146,Uttar Pradesh,Kanpur,0,Manufacturing,9,Primary,0,12.0,8752.51,,,1,,9.077095795358874,,False,True,False,False,False,False,False,True
MSME0147,Bihar,Muzaffarpur,1,Agri-Processing,15,Graduate,1,9.0,99127.16,111683.06,,0,0.12666457911232396,11.504158749368084,11.6234203173343,False,False,False,False,False,False,False,False
MSME0148,Gujarat,Rajkot,1,Retail,1,No formal education,1,7.0,42223.52,49627.02,,0,0.17534066321329914,10.650732690736087,10.812290722450726,True,False,False,False,True,False,False,False
MSME0149,Gujarat,Surat,1,Retail,1,No formal education,0,8.0,32834.95,43688.04,,0,0.33053468940869424,10.399248775858572,10.684829659414797,True,False,False,False,True,False,False,False
MSME0150,Gujarat,Surat,1,Manufacturing,19,Unknown,0,11.0,20455.6,23685.4,,0,0.15789319306204674,9.9260119626148,10.072614103541191,False,False,False,True,True,False,False,False
MSME0151,Gujarat,Rajkot,0,Agri-Processing,3,Secondary,1,10.0,37191.05,34813.68,2023-12-26,0,-0.06392317506496865,10.523823419916635,10.457765691965925,False,False,True,False,True,False,False,False
